       XFOIL         Version 6.96
  
 Calculated polar for: DAE-11 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.750  -0.0465   0.08677   0.08374  -0.0761   0.6799   0.0138
  -8.500  -0.0518   0.08168   0.07867  -0.0795   0.6783   0.0147
  -8.250  -0.0454   0.07894   0.07592  -0.0807   0.6764   0.0147
  -8.000  -0.0429   0.07542   0.07242  -0.0824   0.6748   0.0147
  -7.750  -0.0387   0.07277   0.06980  -0.0828   0.6737   0.0151
  -7.500  -0.0305   0.07075   0.06780  -0.0834   0.6723   0.0153
  -7.250  -0.0273   0.06823   0.06530  -0.0843   0.6707   0.0154
  -7.000  -0.0247   0.06612   0.06322  -0.0849   0.6690   0.0156
  -6.750  -0.0171   0.06337   0.06048  -0.0873   0.6674   0.0158
  -6.500  -0.0080   0.06019   0.05730  -0.0906   0.6657   0.0161
  -6.250   0.0034   0.05651   0.05361  -0.0950   0.6642   0.0167
  -6.000   0.0197   0.04617   0.04317  -0.1081   0.6625   0.0180
  -5.750   0.0313   0.03577   0.03250  -0.1168   0.6607   0.0184
  -5.500   0.0533   0.03440   0.03107  -0.1180   0.6590   0.0187
  -5.250   0.0689   0.02172   0.01739  -0.1232   0.6579   0.0185
  -5.000   0.0907   0.01568   0.01058  -0.1240   0.6566   0.0158
  -4.750   0.1180   0.01428   0.00892  -0.1242   0.6551   0.0159
  -4.500   0.1459   0.01335   0.00782  -0.1244   0.6534   0.0161
  -4.250   0.1740   0.01259   0.00693  -0.1245   0.6516   0.0163
  -4.000   0.2024   0.01203   0.00627  -0.1247   0.6499   0.0167
  -3.750   0.2309   0.01157   0.00570  -0.1248   0.6483   0.0173
  -3.500   0.2594   0.01113   0.00517  -0.1249   0.6466   0.0177
  -3.250   0.2880   0.01087   0.00482  -0.1250   0.6443   0.0181
  -3.000   0.3160   0.01014   0.00405  -0.1251   0.6429   0.0188
  -2.750   0.3448   0.00986   0.00376  -0.1253   0.6413   0.0196
  -2.500   0.3737   0.00962   0.00351  -0.1255   0.6396   0.0204
  -2.250   0.4026   0.00940   0.00327  -0.1257   0.6376   0.0214
  -2.000   0.4314   0.00912   0.00295  -0.1259   0.6357   0.0226
  -1.750   0.4603   0.00893   0.00276  -0.1261   0.6338   0.0244
