      XFOIL         Version 6.96
  
 Calculated polar for: DAE-11 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.0510   0.08450   0.08070  -0.0754   0.6739   0.0134
  -8.250  -0.0607   0.07807   0.07429  -0.0784   0.6725   0.0117
  -8.000  -0.0604   0.07417   0.07043  -0.0802   0.6708   0.0119
  -7.750  -0.0410   0.07454   0.07081  -0.0800   0.6690   0.0125
  -7.500  -0.0362   0.07186   0.06816  -0.0813   0.6673   0.0128
  -7.250  -0.0368   0.06858   0.06490  -0.0826   0.6657   0.0126
  -7.000  -0.0344   0.06613   0.06247  -0.0838   0.6639   0.0130
  -6.750  -0.0293   0.06252   0.05886  -0.0872   0.6622   0.0130
  -6.500  -0.0225   0.05796   0.05428  -0.0922   0.6606   0.0129
  -6.250  -0.0144   0.05072   0.04699  -0.1008   0.6592   0.0125
  -6.000  -0.0155   0.02442   0.01955  -0.1208   0.6580   0.0127
  -5.750   0.0071   0.02019   0.01470  -0.1222   0.6565   0.0131
  -5.500   0.0330   0.01821   0.01233  -0.1228   0.6547   0.0134
  -5.250   0.0599   0.01690   0.01073  -0.1231   0.6528   0.0139
  -5.000   0.0874   0.01587   0.00944  -0.1233   0.6510   0.0144
  -4.750   0.1152   0.01503   0.00837  -0.1234   0.6494   0.0147
  -4.500   0.1428   0.01421   0.00740  -0.1236   0.6477   0.0150
  -4.250   0.1707   0.01368   0.00679  -0.1237   0.6461   0.0154
  -4.000   0.1989   0.01328   0.00629  -0.1239   0.6444   0.0158
  -3.750   0.2272   0.01288   0.00584  -0.1240   0.6428   0.0163
  -3.500   0.2557   0.01249   0.00540  -0.1242   0.6410   0.0169
  -3.250   0.2841   0.01213   0.00499  -0.1243   0.6390   0.0175
  -3.000   0.3127   0.01183   0.00462  -0.1245   0.6369   0.0181
  -2.750   0.3411   0.01150   0.00428  -0.1246   0.6350   0.0190
  -2.500   0.3697   0.01131   0.00407  -0.1248   0.6332   0.0202
  -2.250   0.3983   0.01112   0.00383  -0.1250   0.6314   0.0216
  -2.000   0.4269   0.01090   0.00356  -0.1251   0.6296   0.0229
  -1.750   0.4556   0.01074   0.00339  -0.1253   0.6277   0.0247
  -1.500   0.4844   0.01059   0.00323  -0.1255   0.6257   0.0268
  -1.250   0.5131   0.01045   0.00311  -0.1257   0.6234   0.0306
  -1.000   0.5418   0.01032   0.00300  -0.1259   0.6211   0.0360
  -0.750   0.5705   0.01020   0.00289  -0.1261   0.6188   0.0445
  -0.500   0.5991   0.01007   0.00280  -0.1263   0.6167   0.0616
  -0.250   0.6276   0.00994   0.00273  -0.1265   0.6146   0.0906
   0.000   0.6560   0.00976   0.00271  -0.1267   0.6123   0.1469
   0.250   0.6843   0.00953   0.00273  -0.1271   0.6096   0.2324
   0.500   0.7124   0.00929   0.00277  -0.1273   0.6067   0.3331
   0.750   0.7402   0.00906   0.00281  -0.1275   0.6039   0.4444
   1.000   0.7676   0.00884   0.00285  -0.1276   0.6013   0.5530
   1.250   0.7931   0.00850   0.00290  -0.1272   0.5989   0.7090
   1.750   0.8536   0.00805   0.00297  -0.1280   0.5926   1.0000
   2.000   0.8820   0.00812   0.00299  -0.1282   0.5893   1.0000
   2.250   0.9102   0.00819   0.00301  -0.1283   0.5862   1.0000
   2.500   0.9384   0.00827   0.00304  -0.1285   0.5831   1.0000
   2.750   0.9666   0.00834   0.00312  -0.1287   0.5792   1.0000
   3.000   0.9947   0.00842   0.00317  -0.1288   0.5750   1.0000
   3.250   1.0225   0.00851   0.00322  -0.1289   0.5712   1.0000
   3.500   1.0504   0.00860   0.00330  -0.1290   0.5672   1.0000
   3.750   1.0781   0.00869   0.00339  -0.1292   0.5625   1.0000
   4.000   1.1056   0.00879   0.00347  -0.1292   0.5577   1.0000
   4.250   1.1330   0.00891   0.00357  -0.1293   0.5531   1.0000
   4.500   1.1604   0.00902   0.00369  -0.1294   0.5475   1.0000
   4.750   1.1873   0.00915   0.00379  -0.1294   0.5419   1.0000
   5.000   1.2143   0.00928   0.00393  -0.1294   0.5362   1.0000
   5.250   1.2409   0.00942   0.00408  -0.1294   0.5298   1.0000
   5.500   1.2671   0.00959   0.00423  -0.1293   0.5235   1.0000
   5.750   1.2933   0.00976   0.00440  -0.1292   0.5160   1.0000
   6.000   1.3188   0.00996   0.00459  -0.1291   0.5085   1.0000
   6.250   1.3441   0.01016   0.00480  -0.1289   0.4996   1.0000
   6.500   1.3688   0.01039   0.00502  -0.1286   0.4909   1.0000
   6.750   1.3925   0.01067   0.00528  -0.1282   0.4812   1.0000
   7.000   1.4164   0.01093   0.00555  -0.1278   0.4706   1.0000
   7.250   1.4390   0.01124   0.00585  -0.1272   0.4598   1.0000
   7.500   1.4602   0.01162   0.00619  -0.1264   0.4476   1.0000
   7.750   1.4800   0.01203   0.00659  -0.1254   0.4346   1.0000
   8.000   1.4980   0.01251   0.00703  -0.1242   0.4205   1.0000
   8.250   1.5135   0.01306   0.00754  -0.1226   0.4055   1.0000
   8.500   1.5258   0.01368   0.00813  -0.1205   0.3902   1.0000
   8.750   1.5305   0.01442   0.00883  -0.1171   0.3757   1.0000
   9.000   1.5331   0.01537   0.00976  -0.1139   0.3615   1.0000
   9.250   1.5354   0.01658   0.01092  -0.1111   0.3465   1.0000
   9.500   1.5377   0.01795   0.01226  -0.1086   0.3311   1.0000
